utterance_type,utterance_text,파일번호,emotion
0,그땐 나도 어려서 서로 울기도 웃기도 많이 했었지. 아마 감정을 주체 못 하는 선생님으로 기억할 거야. 지금은 내 마음을 드러내지 않지만 유일하게 내 감정을 들켰던 제자들이라 더 친구 같기도 하네.,1,pleasure
1,"귀여워라, 그걸 함께 겪은 제자들이라 더 마음이 갈만하겠어. 그 진정성 있는 모습을 통해 제자들이 당신을 더 애틋하게 기억하나 봐. 역시 당신은 학생들에게 좋은 영향을 주는 참된 스승이라니까.",1,pleasure
0,당신이 계속 내 젊은 시절에 대해 좋게 말해주니까 더 기분이 좋아지는걸. 제자들이 내 가르침을 감사하고 알아주는 것이 참 보람찬 것 같아. 이런 맛에 선생님을 하는 것 같네.,1,pleasure
1,"앞으로 많은 아이를 멋진 어른으로 성장시킬 텐데. 그런 당신을 항상 응원하고 지지할 거야. 스승의 날, 항상 고생이 많고, 축하해.",1,pleasure
0,"여보, 나 드디어 내 용돈을 모아서 갖고 싶었던 명품 가방을 샀어. 내가 오랫동안 원했던 모델을 원하는 색상으로 사서 너무 신이 나고 기뻐.",2,pleasure
1,자기의 기쁜 모습을 보니까 내 마음이 다 좋다. 무엇보다 당신이 자기 스스로 돈을 모아서 샀다는 게 더 의미가 있는 것 같아. 올해는 저축도 많이 했으면서 알뜰하게 저금도 한 당신이 자랑스러워.,2,pleasure
0,사실 할부로 살 수도 있는 물건이었지만 그렇게 빚을 지면서까지 갖고 싶지는 않았거든. 내가 차곡차곡 돈을 모으면서 진짜 갖고 싶은지에 대해서도 여러 번 고민했고 말이야. 여러 고민 끝에 산 물건이라 후회도 없고 마냥 신이 나.,2,pleasure
1,나는 물건을 살 때마다 고민을 하거나 그냥 사거나 둘 중 하나인데 당신은 참 현명하다. 당신이 나랑 동갑인데도 돈을 더 잘 모으고 잘 쓸 수 있었던 이유가 있네. 앞으로 재테크를 당신에게 배워야겠어.,2,pleasure
0,당신이 나를 이렇게 칭찬해주니까 내 가방의 가치가 더 올라가는 것 같고 뿌듯하다. 당신이 없었다면 이런 고가의 가방을 살 결심도 하지 못했을 거야. 사실 당신이 반대하면 안 살려는 생각도 있었거든.,2,pleasure
1,"자기야, 당신이 사고 싶은 물건을 사는데 내 동의가 왜 필요해. 나는 당신이 자기에게 원하는 걸 제때 사는 게 얼마나 보기 좋은데 말이야. 당신을 마구 칭찬하고 싶은 걸.",2,pleasure
0,당신이 그렇게 말해주니 내 마음이 더 뿌듯한 것 같아. 그렇게 말해주니 지금 이 가방이 더 좋은 물건으로 느껴지고 말이야.,2,pleasure
1,나는 가방에 대해 잘 모르지만 자기가 원하는 걸 갖고 기뻐하는 게 너무 보기 좋아. 그리고 그거야 말로 좋은 소비라고 생각해. 당신은 늘 현명하게 자기 기쁨을 찾을 줄 아는 사람인 것 같아.,2,pleasure
0,내가 사고 싶은 걸 샀을 뿐인데 이렇게 칭찬해줘서 정말 고마워. 당신 덕분에 내가 더 좋은 사람이 된 기분이야.,2,pleasure
1,나는 내가 뭘 원하는지 잘 모를 때도 있는데 말이야. 당신은 자기가 원하는 걸 착착 알고 실행하는 게 참 멋진 것 같아. 앞으로도 당신이 원하는 걸 다 가지면서 살았으면 좋겠어.,2,pleasure
0,"내게 늘 좋은 말만 해주는 당신이 있기에 내가 더 성장하는 것 같아. 나 자신을 더 사랑하게 된 것 같고, 말이야.",2,pleasure
1,그건 나도 마찬가지인걸. 당신과 함께 하면서 배우는 게 얼마나 많은지 몰라. 이번만 해도 나는 사실 돈을 모아서 뭘 사본 적이 없어서 그런지 대견하기만 해.,2,pleasure
0,이번 기회를 발판 삼아 나는 뭐든지 결심하면 이룰 수 있단 생각이 들었어. 당신이 나에게 이런 좋은 경험을 알려준 것 같고 말이야.,2,pleasure
1,"나 당신이 해낸 일이지 나한테 고마울 게 뭐 있나. 여보, 오늘 하루도 정말 고생 많았어. 우리 앞으로도 서로를 사랑하며 살아가자.",2,pleasure
0,"여보, 친구들과 산책으로 한강을 왔는데 노을이 너무 아름다워서 맥주를 마셨어요. 노을을 보면서 마시는 맥주가 이렇게 기분이 좋은 건지 몰랐네요. 정말 기쁜 마음이라서 당신이 떠올라 문자를 보내요.",3,pleasure
1,내가 생각났다니 당신은 역시 다정한 사람이에요. 무엇이든 좋은 것을 하면 날 떠올려주는 당신의 다정함에 또 한 번 반했어요. 당신의 사랑에 저도 본받아야겠다는 생각을 해요.,3,pleasure
0,"노을이 너무 예뻐서 감탄이 절로 나왔어요, 빨갛게 물든 하늘을 바라보는데 기분이 참 좋더라고요. 오랜만에 만난 친구들 이라서 빨리 헤어지기 아쉬워서 한강에서 맥주까지 마셨는데 너무 기쁘네요.",3,pleasure
1,친구들과의 우정을 중요시 하는 당신에게 참 좋았겠어요. 문자로 보내준 내용이지만 당신이 얼마나 신 났는지 알겠어요.,3,pleasure
0,"맞아요, 난 지금 너무 기쁜 마음이라서 친구들에게 너무 좋다고 연발하고 있어요. 내 이야기를 들은 친구들의 표정도 웃고 있는 걸 보니 좋은가 봐요. 정말 오길 잘했다는 생각에 기쁜 마음이에요.",3,pleasure
1,당신이 친구들에게 말하는 그런 긍정적인 말들이 어떻게 안 좋을 수 있겠어요. 당신처럼 좋은 친구는 정말 찾기 힘들죠. 그래서 전 당신으로 인해 당신과 친구들의 우정이 평생 계속 될 거라고 믿어 의심치 않아요.,3,pleasure
0,그렇게 문자 해줘서 고마워요. 내가 무엇을 소중히 하는 마음인지 알아주는 당신이 있어서 내가 더 기뻐요.,3,pleasure
1,"당연히 알아야죠, 누구보다 당신이 행복하기 만을 바라는 사람이 나예요. 그래서 당신이 문자로 이렇게 기쁜 마음을 말해주면 제가 다 기뻐서 눈물이 날 것 같아요.",3,pleasure
0,"그랬군요, 그럼 언제든지 자주 계속 말할 수 있죠. 당신이 나의 연락을 기다린다는 생각을 하니 참 기쁘네요.",3,pleasure
1,당신이 혼자 속앓이 하고 슬퍼하는 모습을 상상만 해도 전 고통스러워요. 그래서 당신이 항상 행복했으면 하는 마음이에요. 그래서 당신에게 진심으로 응원하는 마음이고요.,3,pleasure
0,당신에게 응원을 받으면 힘이 안 날 수 없어요. 나의 향한 온전한 그 마음이 정말 감동적이에요. 고마워요.,3,pleasure
1,당연하죠. 우리가 부부로 만나 내가 아내로서 당신이 언제나 기쁜 마음으로 살아가기 만을 바라요.,3,pleasure
0,오늘도 노을을 보면서 한강에서 친구들과 맥주를 마시는데 너무 기쁘더라고요. 그때 당신이 생각나서 연락 한 건 데 연락 잘했다는 생각이 들어요. 당신과의 문자로 인해서 기쁨이 배가 되었어요.,3,pleasure
1,"다행이네요, 당신이 나로 인해서 더 기뻐지기 만을 바라요. 당신의 그 긍정적인 말들로 인해서 내가 받는 힘이 상당해요. 그래서 내가 더 당신에게 힘을 주고 싶은 바람이에요.",3,pleasure
0,당신 덕분에 오늘도 친구들 과의 한강에서 맥주 먹은 기쁨이 더 커졌어요. 진심 어린 응원과 칭찬에 부끄럽지만 기분이 좋아지는 건 어쩔 수가 없네요.,3,pleasure
0,"여보, 나 홈쇼핑 보다가 드디어 주문했어. 작년부터 말하던 그 명품 가방 말이야. 나 너무 기뻐서 춤도 출 수 있을 것 같아.",4,pleasure
1,몇십 번을 고민하더니 큰 결심했네. 당신 얼마나 들떠 있을지 눈에 훤히 그려진다.,4,pleasure
0,"사실 이 가방을 사는 것 자체도 기쁘지만, 내가 목표한 금액만큼 돈을 모으면 사기로 했었잖아. 내가 그 목표를 달성했다는 것도 너무 기쁘고 뿌듯해.",4,pleasure
1,"맞아, 당신이 한 번 목표를 세우면 그걸 이루기 위해 최선을 다한다는 것을 이번에 알았어. 그게 참 멋있고 근사해 보이더라. 그렇게 공들여 산 물건을 오래도록 쓰는 것도 정말 멋있어 보여.",4,pleasure
0,안 그래도 이 가방은 최소 십 년은 잘 쓸 수 있을 것 같아. 벌써 부터 어떻게 코디하면 좋을지 상상하고 있어. 너무 행복하고 즐거워.,4,pleasure
1,나도 저번 달에 그토록 갖고 싶던 시계를 사고 나니까 정말 즐겁더라. 그때 당신 앞에 두고 패션쇼 한 거 기억나지? 지금 당신이 얼마나 즐거울지 그 마음이 충분히 이해가 된다.,4,pleasure
0,참 이럴 때 보면 나이가 들어도 사람은 변하지 않는 것 같아. 갖고 싶던 명품 가방을 샀다고 이렇게까지 기쁘다니.,4,pleasure
1,"원하는 물건을 갖는 기쁨이 얼마나 대단한 건데, 그건 늙어서도 변하지 않는 즐거움이지. 당신이 이렇게 기뻐 하는 모습을 보니까 나도 괜히 웃음이 나고 기분이 좋아진다. 덕분에 오늘 즐겁게 보낼 수 있을 것 같아.",4,pleasure
0,"사실 돈을 모으는 동안, 가방 가격이 너무 비싼 것 같아서 흔들리기도 했거든. 그런데 주문하고 나니까 이렇게 기쁠 수가 없다니까. 정말 올해 최고의 선택인 것 같아 마음이 너무 뿌듯해.",4,pleasure
1,비싼 금액의 물건을 쉽게 사지 않았으니 더 확신을 가질 수 있는 것 같아. 몇 년 동안 고민하고 돈을 모으는 게 쉬운 일은 아니잖아. 이번에 당신의 그런 근성과 뚝심이 정말 멋있다고 생각했어.,4,pleasure
0,"그렇게 말해 줘서 정말 고마워. 안 그래도 오늘 기쁜데, 당신이 이렇게 칭찬해 주니 정말 날아갈 것 같아.",4,pleasure
1,나도 집으로 돌아가서 당신의 기쁜 얼굴을 얼른 보고 싶다. 오늘이 기쁘고 즐거운 기분이 앞으로도 계속 이어졌으면 좋겠어. 좋아하는 가방 메고 좋은 곳만 다니자.,4,pleasure
0,이렇게 따뜻하게 말해 주는 당신이 있으니 내가 어떻게 안 행복하겠어. 오늘도 내 이야기 들어줘서 정말 고마워.,4,pleasure
1,"고맙긴, 나야말로 당신 즐거워하는 모습을 볼 수 있어서 고마운걸. 앞으로 이런 이야기는 언제든지 환영이야.",4,pleasure
0,"당신하고 이야기하다 보면 너무 즐거워서 시간 가는 줄 모르겠다니까. 퇴근하고 집에서 보자, 여보. 오늘도 무척 고마워.",4,pleasure
0,"여보, 윗집 사람이 카레를 많이 만들었다고 나눠줬어요. 저녁 준비를 안 해도 돼서 기뻐요. 그리고 이렇게 다정한 사람이 윗집에 산다는 게 정말 기쁘네요.",5,pleasure
1,오늘 저녁은 당신이 좋아하는 카레로군요. 친한 이웃이 있으면 좋겠다고 말해온 당신인데 바람을 이룰 수 있는 기회가 될지도 모르겠네요.,5,pleasure
0,카레를 계기로 인사를 나누게 됐으니 앞으로 자주 오갈 수 있지 않을까 기대하고 있어요. 주택에 살면서 이웃과 친하게 지내는 친구가 몹시 부러웠는데 이제 저에게도 이웃이 생길 것 같네요. 그 기대감에 정말 기쁘고 행복해요.,5,pleasure
1,바로 위층이라 정말 가까운 곳에 사는 이웃이니 앞으로 종종 오가면서 즐거운 일을 함께하면 좋겠네요. 당신이 이번 일로 행복해하는 걸 생각하니 나까지 기분이 좋아져요. 음식을 나눠준 그 이웃이 정말 고맙게 느껴지네요.,5,pleasure
0,이웃이 있으면 좋겠다고 말만 해오고 제가 문을 두드려볼 생각은 안 했는데 이런 기회가 오네요. 이번 일을 잘 살려서 반드시 윗집 사람들과 친하게 지내야겠어요. 카레에 보답하는 의미로 제가 자신 있는 요리를 만들어 카레 그릇에 담아 돌려주려고 해요.,5,pleasure
1,당신은 요리에 재능이 있으니 뭘 만들든지 환영받을 거예요. 그리고 그 맛에 분명 윗집 사람들이 감탄할 거예요. 자신들을 위해 음식을 일부러 만든 걸 알면 정말 고마워하겠네요.,5,pleasure
0,요리에 재능이 있다고 말해줘서 고마워요. 그럼 더 자신감을 가지고 뭘 만들어서 가져갈지 고민해 봐야겠어요. 윗집 사람들은 어떻게 사는지 벌써부터 친구라도 된 것처럼 궁금하네요.,5,pleasure
1,윗집 분들은 잘 모르는 사람과 음식을 나눌 정도로 마음이 열려있으니 당신과 잘 맞을 거예요. 지금의 좋은 분위기를 잘 이어가서 당신이 정말 바라는 서로에게 좋은 이웃이 되도록 해봐요. 당신은 분명 그런 관계를 만들 수 있을 거예요.,5,pleasure
0,"그래요, 윗집에서 물꼬를 터줬으니 이번 기회를 그냥 날려서는 안 되죠. 우선 윗집부터 친해져서 관계를 넓혀가면 제가 가진 마을공동체를 만들겠다는 꿈도 이룰 수 있을 거예요. 꿈을 이룰 수 있을 거라고 생각하니 기쁜 마음에 너무 설레고 행복하네요.",5,pleasure
1,당신은 목표한 바가 있으면 반드시 이뤄내는 사람이니까요. 이번에도 분명 당신 바람대로 이루어질 거예요. 당신이 꿈꿔온 그대로의 공동체를 만들 수 있도록 응원할게요.,5,pleasure
0,정말 고마워요 여보. 겨우 카레 가지고 확대해석한다고 핀잔이나 들을 줄 알았는데 응원까지 해주다니 너무 고맙네요. 당신의 응원 덕분에 힘이 막 솟는 것 같아요.,5,pleasure
1,당신의 기쁨이 곧 제 기쁨과 같아요. 난 당신이 무슨 일을 하든지 믿고 응원할 준비가 되어 있는걸요.,5,pleasure
0,당신에게 이야기하길 정말 잘한 것 같아요. 당신의 믿음과 응원에 기쁨이 몇 배가 된 것 같아요. 그 덕분에 뭐든 다 할 수 있을 것 같은 자신감이 생기네요.,5,pleasure
1,기쁨은 나누면 두 배가 된다고 하는 말도 있잖아요. 언제라도 기쁜 일이 있을 땐 주저 없이 나에게 이야기해 줘요. 그 누구보다 당신의 기쁨을 바라는 제가 곁이 있다는 걸 기억해 주길 바라요.,5,pleasure
0,"여보, 나 마음이 한시름 놓여서 정말 기뻐. 이제 아이 걱정을 안 해도 될 것 같아.",6,pleasure
1,"우리 아이, 이제는 몸이 괜찮아진 거야? 그것참 듣던 중 반가운 소식이야!",6,pleasure
0,"응, 목감기로 밤새 열이 났던 아이가 아침에 정상체온이 됐어. 밤새 잠도 못 자고 계속 걱정했는데 이제 괜찮아져서 저절로 안도가 되네. 아이가 더 탈 나지 않는다는 사실에 무척 기분이 좋아져.",6,pleasure
1,"여보, 옆에서 간호한다고 정말 고생 많았어. 나였어도 걱정하던 게 사라지면 무척 안도감을 느낄 것 같아. 아무래도 아이가 괜찮아진 걸 확인하면 기쁜 마음이 절로 들 수밖에 없지.",6,pleasure
0,이제 움직일 수 있는 힘도 생겼는지 밥도 곧잘 혼자서 잘 먹더라고. 이제 조금만 더 쉬면 목감기 말끔하게 나을 수 있을 것 같아서 참 다행이야.,6,pleasure
1,이게 다 당신 덕분이야. 당신이 밤까지 새면서 아이를 정성스럽게 돌봐서 괜찮아진 게 분명해. 여보도 분명 피곤했을 텐데 본인을 희생하면서 간호한 게 무척 대단해 보여.,6,pleasure
0,부모라면 누구나 그렇게 할 수밖에 없지. 아이가 혹시 잘못될 수도 있다는 생각을 하니까 잠이 싹 달아나더라고. 옆에서 계속 간호한 게 효과가 있어서 참 다행이야.,6,pleasure
1,이번에 무사히 고비를 넘긴 만큼 분명 더 튼튼하게 성장할 거야. 원래 아이들은 아프면서 큰다고 하잖아. 이번 경험을 통해 면역력이 더 생겼을지도 모르지.,6,pleasure
0,"그래, 이제 아이가 다 나아가는 걸 확인하니 안도가 돼서 그런지 나도 그런 생각을 했어. 아무래도 이번 기회에 면역력이 생겨서 목감기에 자주 안 걸리게 될 거야. 계속 이대로 무탈하게 잘 자라면 평생 소원이 없겠어.",6,pleasure
1,"이렇게 애정이 넘치는 당신이 있으니 아이는 별 탈 없이 잘 자랄 수 있을 거야. 당신, 어제 아이가 아픈 걸 깨닫고 침착하게 대응하는 거 무척 존경스럽더라. 나였으면 당황해서 허둥지둥했을 텐데 당신은 참 상황 판단 능력이 좋아.",6,pleasure
0,그렇게 말이야. 다 내 덕분이라고 말해주니까 무척 기분이 좋아지네. 안도감 때문에 지금 마음이 너무 편해. 오늘 밤은 편안한 기분으로 잠에 들 수 있을 것 같아.,6,pleasure
1,"그래, 안 그래도 아이 돌본다고 제대로 잠도 못 잤잖아. 이렇게 상황이 나아졌으니까 오늘 푹 쉬었으면 좋겠어.",6,pleasure
0,"응, 이 편안한 일상이 계속 이루어졌으면 좋겠네. 아이도 이제 아프지 않고 편안하게 잘 자는 걸 보니 무척 행복해.",6,pleasure
1,그 행복은 영원히 지속될 거야. 나도 우리 아이 무사한 거 얼른 눈으로 확인하고 싶다. 나중에 집에서 봐!,6,pleasure
0,"여보, 방금 출판사에서 전화가 왔어! 내 원고를 단행본으로 출간하자고 하더라. 얼마나 기쁜지 아직도 믿기지 않아.",7,pleasure
1,나도 연락받고 자리에서 일어서고 말았어. 너무 잘됐다 여보. 정말 축하할 일이야.,7,pleasure
0,이번 달에 회사를 그만둘 수 있겠어. 이제 작가로서의 삶에 진지하게 몰두해볼 거야. 생각만 해도 가슴이 뛰어!,7,pleasure
1,당신이 일 때문에 지친 모습을 보면서 나도 내내 마음이 쓰였어. 이렇게 새 출발을 할 수 있게 돼서 나도 기쁘고 응원해.,7,pleasure
0,그렇게 말해줘서 고마워. 내가 지쳐 있다는 걸 당신도 눈치채고 있었구나. 학생 때부터 바란 일인데 이런 시기에 이루어지다니 정말 꿈만 같아.,7,pleasure
1,현실에 치이면서도 밤낮으로 원고를 작성했잖아. 그 피와 땀의 결실을 맺은 거라고 생각해. 나는 당신이 너무 대견하고 자랑스러워.,7,pleasure
0,"맞아, 힘들면 힘들수록 글을 쓰게 되더라고. 드디어 내 이름으로 책 한 권이 세상에 나올 수 있게 되다니. 너무 행복해서 눈물이 날 것 같아.",7,pleasure
1,나도 같은 마음이야. 당신이 이렇게 행복해하는 모습은 처음 봐서 감격스러워. 앞으로는 좋은 일들만 있을 거야.,7,pleasure
0,회사에서 받는 스트레스와도 안녕이야. 이제는 마음 편하게 집에서 글만 쓰고 다듬을 수 있어.,7,pleasure
1,그게 가장 잘된 일이지. 당신이 더 작업에 몰두할 수 있게 따로 서재를 마련해도 좋겠다.,7,pleasure
0,그럼 나야 너무 좋지. 옷방을 서재로 바꾸면 집중도 잘 되고 좋을 거 같아. 먼저 그렇게 제안해 줘서 정말 고마워 여보.,7,pleasure
1,나야 당신에게 늘 힘을 보태주고 싶어서 안달인 사람이잖아. 서재는 내가 알아서 준비할 테니까 지금은 회사 정리에만 신경 써도 괜찮아.,7,pleasure
0,정말 존재만으로도 든든하다. 당신이 첫 독자로서 내 글을 항상 잘 읽고 살펴 줘서 오늘의 결실도 있었어. 진심으로 당신에게 고마워.,7,pleasure
1,"무슨 소리, 그렇게 치밀하게 짜여진 구성의 글은 나도 읽어보지 못했어. 이건 오롯이 당신의 실력과 노력의 결과야. 이 기쁨을 온전히 누려도 돼!",7,pleasure
0,당신이랑 얘기하고 보니까 나도 더 감격스럽고 흥분된다. 늘 내 마음을 당신 마음처럼 느껴줘서 고마워. 그럼 집에 가서 남은 이야기를 하자!,7,pleasure
0,"여보, 나 야구 경기 직관하고 집에 가는 길이야. 근데 있지, 오늘 정말 신나는 일이 있었어!",8,pleasure
1,무슨 일이야? 당신이 기분 좋아 보여서 나도 덩달아 기분 좋아지는걸?,8,pleasure
0,내가 응원하는 팀이 오늘 홈런을 쳤는데 그 볼을 내가 잡은 거 있지? 어떻게 나에게 이런 행운이 올 수 있었는지 몰라. 너무 행복해!,8,pleasure
1,"우와! 여보 정말 기분 좋았겠다. 응원하는 팀이 홈런 친 것만 해도 신났을 텐데, 그 공을 잡았다니!",8,pleasure
0,그러니까! 지하철 타러 오는 내내 함박웃음이 지어지더라고. 끝난 지 30분이 지났는데도 기쁨이 가시질 않는다.,8,pleasure
1,나였어도 그럴 것 같아. 홈런볼이면 카메라에도 잡혔을 것 같은데?,8,pleasure
0,"아, 그 생각을 못 했다! 지금 찾아보니까 진짜 영상으로 남아있네? 내가 홈런볼을 잡은 순간이 카메라에 담기다니. 정말 영광스러워.",8,pleasure
1,축하해. 홈런볼은 유리 상자에 넣어 보관하는 게 어때? 기념하기 좋을 것 같은데.,8,pleasure
0,좋은 생각이다! 예쁜 상자에 담아두고 싶은데 내일 퇴근하고 별일 없으면 같이 구경하러 가지 않을래?,8,pleasure
1,그러자. 여보가 또 가구 보는 눈이 탁월하잖아. 나도 옆에서 구경하면 재밌을 것 같아!,8,pleasure
0,그렇게 말해줘서 고마워. 자기 말대로 상자 안에 전시해놓으면 볼 때마다 기분이 좋아질 것 같아! 내일모레도 경기 있는데 여보 시간 되면 같이 직관하러 갈까?,8,pleasure
1,너무 좋지! 안 그래도 오늘 시간 안 돼서 아쉬워하고 있었거든. 여보랑 같이 가면 꼭 승리할 것 같은 기운이 도는걸?,8,pleasure
0,당신이랑 같이 응원할 생각 하니까 몇 배로 신나는 기분이야! 그럼 나 집 도착하고 같이 계획 세우자!,8,pleasure
1,"좋아! 전철에 사람 많을 텐데 조심해서 오고, 도착하기 전에 연락해. 앞에 나가 있을게.",8,pleasure
0,응. 고마워! 조금 이따 보자.,8,pleasure
0,이번에 기다리던 신상 핸드폰이 나왔어. 정말 기뻐.,9,pleasure
1,그렇게 기다리다니 드디어 나왔구나. 나도 얘기를 많이 들어서인지 기대가 된다.,9,pleasure
0,매년 이맘쯤이 되면 새 핸드폰을 출시하잖아. 나한테는 이날이 내 생일처럼 기쁘게 느껴져. 이번에는 얼마나 좋아졌을지 생각하니 기대가 돼.,9,pleasure
1,처음에는 당신이 그저 새 핸드폰을 좋아하는 줄로만 알았는데 이렇게 관심이 많은 줄은 몰랐어. 단순히 사는 것에만 그치는 게 아닌 그 제품을 분석하고 어떤 부분이 다른지 확인하잖아. 나는 그저 기본 용도로만 사용할 줄만 알았는데 당신 덕분에 많은 정보를 알게 된 것 같아.,9,pleasure
0,"우리나라는 핸드폰으로 못 하는 게 없잖아. 사진부터 시작해서 각종 결제, 게임 등등 핸드폰만 있다면 어디든지 떠날 수 있을 것 같아. 그런 새 핸드폰을 살 생각을 하니 너무 설레.",9,pleasure
1,당신이 아이처럼 들뜬 모습을 보니 내가 다 기분이 좋네. 누군가가 만든 것을 이렇게 기쁘게 써주는 사람이 있다면 정말 뿌듯할 것 같아. 이번에는 얼마나 애지중지할지 벌써부터 상상이 된다.,9,pleasure
0,"이번에 나오는 핸드폰은 마스크를 벗지 않아도 잠금이 풀린다는 거 있지. 이거 말고도 새로운 기능이 얼마나 많은데, 하나씩 써볼 생각에 벌써 즐거워. 어떻게 이런 것들을 생각해냈는지 정말 대단하게만 느껴져.",9,pleasure
1,핸드폰을 구매하기 전에 다양한 정보를 찾아보는 자기는 정말 꼼꼼하고 섬세한 사람 같아. 당신처럼 미리 알아보는 습관을 가진다면 무슨 일도 잘 해낼 수 있겠어. 그런 당신이 내 곁에 있어서 얼마나 든든한지 몰라.,9,pleasure
0,아무리 내가 기계를 좋아한다지만 아무래도 비싸다 보니 부담이 큰 건 사실이야. 큰 돈을 주고 구매하는 만큼 유용하게 써야겠다는 생각에서 찾아보기 시작한 것 같아. 내가 알고 있는 것들이 누군가에게 도움이 될 때도 정말 기쁜 것 같아.,9,pleasure
1,무언가를 이렇게 깊게 파고들고 좋아한다는 건 정말 즐거운 일이야. 당신이 핸드폰을 사고 행복해하는 모습을 보면 내가 다 기쁘다니까.,9,pleasure
0,내가 핸드폰을 자주 바꾸는 걸 보고 충동구매라고 하는 사람들도 있었는데 그렇게 말해주니 기분이 좋다. 당신은 내가 뭘 하든 진심으로 존중해주는 게 느껴져서 얼마나 고마운지 몰라.,9,pleasure
1,"내가 느낀 걸 말했을 뿐인데. 뭘, 지금 이 감정을 오래 지속할 수 있길 바라.",9,pleasure
0,응응. 이번에는 너무 마음에 들어서 정말 오래 쓰고 싶어. 자기랑 대화하고 나니까 기분이 너무 좋다.,9,pleasure
1,당신 기분이 더 좋아졌다니 나도 기쁘다. 오늘 하루도 기분 좋게 마무리하자!,9,pleasure
0,"여보, 요즘 저 정말 기쁘고 좋아요. 당장이라도 신이 나서 날아갈 것 같아요.",10,pleasure
1,"당신이 이렇게 기뻐하는 소식이라니 저도 궁금한걸요. 무슨 일이에요, 나에게도 알려줘요.",10,pleasure
0,이번에 옮기는 회사에서 꽤 거액의 연봉을 제안했어요. 내 가치를 인정받은 기분이라 너무 기뻐요.,10,pleasure
1,"거액의 연봉이라니, 당신 정말 뿌듯하고 기쁘겠어요. 지금까지 이직을 위해 애쓰고 노력했던 게 헛수고가 아니라는 거잖아요. 얼마나 스스로 대견하고 자랑스러울까요, 잘했다고 듬뿍 격려해줘요.",10,pleasure
0,"이번에 회사를 옮기게 되면서 여러 가지로 고민이 많았잖아요. 잘하는 것인지, 갈등도 많고 어려움도 있었는데 그게 싹 사라지는 것 같았어요. 돈도 돈이지만 이것만큼의 가치를 저에게서 발견한 거잖아요, 얼마나 만족스러운 일인지 몰라요.",10,pleasure
1,"매사에 열심히 하는 당신이지만, 인정받았을 때 더 힘을 얻고 나아가고는 하잖아요. 반짝반짝 빛나는 당신의 가치를 알아봐 줬으니 이걸 원동력 삼아 우뚝 솟을 일만 남았네요. 고민했던 시간이 무색할 만큼 기쁘고 행복하겠어요.",10,pleasure
0,그 전의 회사에서도 회사생활은 너무 즐겁고 좋았지만 뭔가 멈춰있고 도태된다는 느낌을 지울 수가 없었어요. 새로운 도전으로써 이직을 선택한 거지만 낯설고 어색함에 불안감도 컸거든요. 그런데 이렇게 도전한 보답을 받으니까 더할 나위 없이 기쁘네요.,10,pleasure
1,두려움과 낯섦을 이겨내고 꿋꿋하게 도전한 보답에 더 벅차겠어요. 정체되기보단 끊임없이 나아가는 당신이기에 마음껏 자신을 펼칠 수 있는 곳이 당신을 위해서라도 좋을 거예요. 너무 잘 된 일이예요. 축하해요 여보.,10,pleasure
